"File","Needle","TotalRefs","SelfRefs","NonSelfRefs"
"app\Models\RoleModel.php","RoleModel","6","1","5"
"app\Models\UserModel.php","UserModel","4","1","3"
"scripts\tmp-sidebar-compare.mjs","tmp-sidebar-compare.mjs","0","0","0"
"tests\sidebar-compare.spec.ts","sidebar-compare.spec.ts","0","0","0"
"app\Controllers\Home.php","Home::index","2","0","2"
"app\Views\welcome_message.php","welcome_message","2","1","1"
